clip_id,role,split,video_file,t_sec,source_frame_index,source_fps,sample_fps,path,width,height
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,0.0,0,29.97003,2.0,data/frames/A/000000.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,0.5005,15,29.97003,2.0,data/frames/A/000015.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,1.001,30,29.97003,2.0,data/frames/A/000030.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,1.5015,45,29.97003,2.0,data/frames/A/000045.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,2.002,60,29.97003,2.0,data/frames/A/000060.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,2.5025,75,29.97003,2.0,data/frames/A/000075.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,3.003,90,29.97003,2.0,data/frames/A/000090.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,3.5035,105,29.97003,2.0,data/frames/A/000105.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,4.004,120,29.97003,2.0,data/frames/A/000120.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,4.5045,135,29.97003,2.0,data/frames/A/000135.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,5.005,150,29.97003,2.0,data/frames/A/000150.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,5.5055,165,29.97003,2.0,data/frames/A/000165.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,6.006,180,29.97003,2.0,data/frames/A/000180.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,6.5065,195,29.97003,2.0,data/frames/A/000195.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,7.007,210,29.97003,2.0,data/frames/A/000210.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,7.5075,225,29.97003,2.0,data/frames/A/000225.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,8.008,240,29.97003,2.0,data/frames/A/000240.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,8.5085,255,29.97003,2.0,data/frames/A/000255.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,9.009,270,29.97003,2.0,data/frames/A/000270.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,9.5095,285,29.97003,2.0,data/frames/A/000285.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,10.01,300,29.97003,2.0,data/frames/A/000300.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,10.5105,315,29.97003,2.0,data/frames/A/000315.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,11.011,330,29.97003,2.0,data/frames/A/000330.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,11.5115,345,29.97003,2.0,data/frames/A/000345.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,12.012,360,29.97003,2.0,data/frames/A/000360.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,12.5125,375,29.97003,2.0,data/frames/A/000375.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,13.013,390,29.97003,2.0,data/frames/A/000390.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,13.5135,405,29.97003,2.0,data/frames/A/000405.jpg,1920,1080
A,train_pool,train,8968356-hd_1920_1080_30fps.mp4,14.014,420,29.97003,2.0,data/frames/A/000420.jpg,1920,1080
