filename,prediction_type,semantic_cause
fp_residual_00_E_000876_c0.98_a9114.jpg,FP,infra_pole
fp_residual_01_E_000900_c0.98_a9482.jpg,FP,infra_pole
fp_residual_02_E_000102_c0.95_a172340.jpg,FP,shadow_glare
fp_residual_03_E_000912_c0.95_a9120.jpg,FP,infra_pole
fp_residual_04_E_000876_c0.95_a7870.jpg,FP,infra_pole
fp_residual_05_E_000906_c0.94_a9344.jpg,FP,infra_pole
fp_residual_06_F_000000_c0.93_a2727.jpg,FP,proxy_gt_miss
fp_residual_07_E_000012_c0.93_a10910.jpg,FP,gantry_sign
fp_residual_08_E_000828_c0.93_a40968.jpg,FP,proxy_gt_miss
fp_residual_09_E_000900_c0.92_a9454.jpg,FP,infra_pole
fp_residual_10_E_000000_c0.91_a12610.jpg,FP,gantry_sign
fp_residual_11_E_000084_c0.91_a63860.jpg,FP,proxy_gt_miss
fp_residual_12_E_000096_c0.91_a172776.jpg,FP,shadow_glare
fp_residual_13_E_000126_c0.90_a217354.jpg,FP,shadow_glare
fp_residual_14_E_000108_c0.90_a194104.jpg,FP,shadow_glare
fp_residual_15_E_000264_c0.90_a12019.jpg,FP,uncertain
fp_residual_16_E_000486_c0.89_a11679.jpg,FP,gantry_sign
fp_residual_17_E_000048_c0.89_a154824.jpg,FP,shadow_glare
fp_residual_18_E_000912_c0.89_a9308.jpg,FP,infra_pole
fp_residual_19_E_000132_c0.89_a232026.jpg,FP,shadow_glare
fp_residual_20_E_000492_c0.89_a11459.jpg,FP,gantry_sign
fp_residual_21_E_000852_c0.88_a12995.jpg,FP,gantry_sign
fp_residual_22_F_000290_c0.88_a10434.jpg,FP,partial_vehicle
fp_residual_23_F_000085_c0.88_a13601.jpg,FP,proxy_gt_miss
fp_residual_24_E_000180_c0.88_a64777.jpg,FP,proxy_gt_miss
fp_residual_25_F_000050_c0.88_a2180.jpg,FP,gantry_sign
fp_residual_26_E_000468_c0.88_a13929.jpg,FP,gantry_sign
fp_residual_27_F_000260_c0.87_a3100.jpg,FP,shadow_glare
fp_residual_28_E_000216_c0.87_a11375.jpg,FP,several_uncertain
fp_residual_29_E_000456_c0.87_a17102.jpg,FP,gantry_sign
fp_residual_30_E_000882_c0.87_a9090.jpg,FP,infra_pole
fp_residual_31_E_000822_c0.87_a27453.jpg,FP,proxy_gt_miss
fp_residual_32_E_000894_c0.86_a8895.jpg,FP,infra_pole
fp_residual_33_E_000198_c0.86_a11513.jpg,FP,several_uncertain
fp_residual_34_F_000155_c0.86_a2391.jpg,FP,proxy_gt_miss
fp_residual_35_F_000245_c0.86_a4527.jpg,FP,proxy_gt_miss
fp_residual_36_E_000120_c0.86_a213742.jpg,FP,shadow_glare
fp_residual_37_E_000864_c0.85_a9083.jpg,FP,partial_vehicle
fp_residual_38_E_000450_c0.84_a17581.jpg,FP,gantry_sign
fp_residual_39_E_000498_c0.84_a10364.jpg,FP,gantry_sign
fp_residual_40_E_000126_c0.84_a12339.jpg,FP,partial_vehicle
fp_residual_41_E_000474_c0.84_a14581.jpg,FP,gantry_sign
fp_residual_42_F_000040_c0.83_a2208.jpg,FP,gantry_sign
fp_residual_43_F_000025_c0.83_a2378.jpg,FP,gantry_sign
fp_residual_44_E_000864_c0.83_a12030.jpg,FP,gantry_sign
fp_residual_45_E_000090_c0.82_a174237.jpg,FP,shadow_glare
fp_residual_46_E_000480_c0.82_a13699.jpg,FP,gantry_sign
fp_residual_47_E_000054_c0.82_a156296.jpg,FP,shadow_glare
fp_residual_48_E_000222_c0.82_a8544.jpg,FP,several_uncertain
fp_residual_49_F_000045_c0.82_a2149.jpg,FP,gantry_sign
