path,clip_id,conf,source,merged_parts,x1,y1,x2,y2
data/frames/A/000000.jpg,A,0.3903,sam,1,90.0,975.0,199.0,1080.0
data/frames/A/000000.jpg,A,0.3818,sam,1,1251.0,771.0,1273.0,784.0
data/frames/A/000000.jpg,A,0.3667,sam,1,1179.0,766.0,1202.0,782.0
data/frames/A/000000.jpg,A,0.3347,sam,1,1143.0,474.0,1164.0,485.0
data/frames/A/000000.jpg,A,0.3268,sam,1,1769.0,480.0,1793.0,493.0
data/frames/A/000000.jpg,A,0.3171,sam,1,1866.0,459.0,1885.0,469.0
data/frames/A/000000.jpg,A,0.3073,sam,1,1858.0,647.0,1872.0,663.0
data/frames/A/000000.jpg,A,0.2865,sam,1,1093.0,723.0,1111.0,738.0
data/frames/A/000000.jpg,A,0.2740,sam,1,497.0,799.0,519.0,812.0
data/frames/A/000000.jpg,A,0.2730,sam,1,771.0,730.0,788.0,746.0
data/frames/A/000000.jpg,A,0.2688,sam,1,1785.0,452.0,1802.0,462.0
data/frames/A/000000.jpg,A,0.2623,sam,1,1013.0,474.0,1031.0,484.0
data/frames/A/000000.jpg,A,0.2614,sam,1,1138.0,449.0,1155.0,460.0
data/frames/A/000000.jpg,A,0.2578,sam,1,0.0,745.0,64.0,782.0
data/frames/A/000000.jpg,A,0.2377,sam,1,342.0,485.0,360.0,494.0
data/frames/A/000000.jpg,A,0.2324,sam,1,948.0,475.0,958.0,485.0
data/frames/A/000000.jpg,A,0.2297,sam,1,980.0,425.0,992.0,438.0
data/frames/A/000000.jpg,A,0.2220,sam,1,1019.0,418.0,1030.0,442.0
data/frames/A/000000.jpg,A,0.2197,sam,1,1899.0,445.0,1920.0,463.0
data/frames/A/000000.jpg,A,0.2171,sam,1,812.0,713.0,835.0,728.0
data/frames/A/000000.jpg,A,0.2121,sam,1,1008.0,418.0,1058.0,440.0
data/frames/A/000000.jpg,A,0.2102,sam,1,1601.0,447.0,1618.0,457.0
data/frames/A/000000.jpg,A,0.2012,sam,1,853.0,414.0,862.0,425.0
data/frames/A/000000.jpg,A,0.1937,sam,1,1852.0,478.0,1872.0,488.0
data/frames/A/000000.jpg,A,0.1930,sam,1,1040.0,424.0,1059.0,434.0
data/frames/A/000000.jpg,A,0.1851,sam,1,482.0,573.0,497.0,586.0
data/frames/A/000000.jpg,A,0.1823,sam,1,1040.0,383.0,1058.0,434.0
data/frames/A/000000.jpg,A,0.1818,sam,1,1008.0,384.0,1058.0,440.0
data/frames/A/000000.jpg,A,0.1798,sam,1,1059.0,445.0,1074.0,453.0
data/frames/A/000000.jpg,A,0.1777,sam,1,1029.0,652.0,1044.0,669.0
data/frames/A/000000.jpg,A,0.1768,sam,1,434.0,612.0,448.0,625.0
data/frames/A/000000.jpg,A,0.1727,sam,1,1019.0,418.0,1030.0,434.0
data/frames/A/000000.jpg,A,0.1700,sam,1,421.0,752.0,436.0,767.0
data/frames/A/000000.jpg,A,0.1649,sam,1,0.0,800.0,42.0,852.0
data/frames/A/000000.jpg,A,0.1580,sam,1,465.0,578.0,481.0,596.0
data/frames/A/000000.jpg,A,0.1558,sam,1,411.0,659.0,423.0,672.0
data/frames/A/000000.jpg,A,0.1529,sam,1,867.0,270.0,878.0,280.0
data/frames/A/000000.jpg,A,0.1514,sam,1,90.0,975.0,130.0,1010.0
data/frames/A/000015.jpg,A,0.4133,sam,1,1225.0,771.0,1248.0,784.0
data/frames/A/000015.jpg,A,0.4101,sam,1,1195.0,474.0,1217.0,485.0
data/frames/A/000015.jpg,A,0.4045,sam,1,1812.0,458.0,1831.0,467.0
data/frames/A/000015.jpg,A,0.3756,sam,1,1154.0,758.0,1177.0,776.0
data/frames/A/000015.jpg,A,0.3651,sam,1,89.0,975.0,200.0,1080.0
data/frames/A/000015.jpg,A,0.3462,sam,1,1064.0,474.0,1080.0,483.0
data/frames/A/000015.jpg,A,0.3226,sam,1,1858.0,647.0,1871.0,662.0
data/frames/A/000015.jpg,A,0.2595,sam,1,1008.0,385.0,1058.0,436.0
data/frames/A/000015.jpg,A,0.2480,sam,1,0.0,745.0,63.0,782.0
data/frames/A/000015.jpg,A,0.2446,sam,1,392.0,484.0,409.0,492.0
data/frames/A/000015.jpg,A,0.2434,sam,1,486.0,794.0,503.0,808.0
data/frames/A/000015.jpg,A,0.2364,sam,1,978.0,401.0,989.0,417.0
data/frames/A/000015.jpg,A,0.2352,sam,1,1817.0,481.0,1841.0,494.0
